"data e hora","caso de teste","mensagem"
"[2021/09/26 20:42:02.650]","Comprar Caneta","Iniciou o teste"
"[2021/09/26 20:42:07.982]","Comprar Caneta","Abriu o site"
"[2021/09/26 20:42:09.595]","Comprar Caneta","Clicou na caixa de Pesquisa"
"[2021/09/26 20:42:09.920]","Comprar Caneta","Escreveu Caneta hidrográfica 12 cores 15.0112CZF Faber Castell BT 1 UN na caixa de Pesquisa"
"[2021/09/26 20:42:10.945]","Comprar Caneta","Clicou na lupa"
"[2021/09/26 20:42:12.661]","Comprar Caneta","Clicou no item pesquisado"
"[2021/09/26 20:42:17.128]","Comprar Caneta","Clicou em comprar"
"[2021/09/26 20:42:19.386]","Comprar Caneta","Confirmou o nome do item Caneta hidrográfica 12 cores"
"[2021/09/26 20:42:19.490]","Comprar Caneta","Confirmou o preço da Caneta hidrográfica 12 cores"
"[2021/09/26 20:42:19.762]","Comprar Caneta","Concluiu o teste"
