"data e hora","caso de teste","mensagem"
"[2021/09/26 11:42:33.759]","Comprar Tênis","Iniciou o teste"
"[2021/09/26 11:43:01.629]","Comprar Tênis","Abriu o site"
"[2021/09/26 11:43:05.556]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/26 11:43:10.910]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/26 11:43:13.937]","Comprar Tênis","Dou enter"
"[2021/09/26 11:43:31.573]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/26 11:43:32.786]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/26 11:43:37.709]","Comprar Tênis","Clico no popup"
"[2021/09/26 11:43:55.959]","Comprar Tênis","Clicou no tamanho desejado"
"[2021/09/26 11:44:53.737]","Comprar Tênis","Clicou em adicionar ao carrinho"
