"data e hora","caso de teste","mensagem"
"[2021/09/26 17:33:27.808]","Comprar estojo","Iniciou o teste"
"[2021/09/26 17:33:34.059]","Comprar estojo","Abriu o site"
"[2021/09/26 17:33:35.821]","Comprar estojo","Clicou na caixa de Pesquisa"
"[2021/09/26 17:33:36.083]","Comprar estojo","Escreveu Estojo escolar plástico branco Waleu PT 1 UN na caixa de Pesquisa"
"[2021/09/26 17:33:37.554]","Comprar estojo","Clicou na lupa"
"[2021/09/26 17:33:40.810]","Comprar estojo","Confirmou o texto da pesquisa de Estojo"
"[2021/09/26 17:33:40.931]","Comprar estojo","Clicou no item pesquisado"
"[2021/09/26 17:33:45.067]","Comprar estojo","Clicou em comprar"
