"data e hora","caso de teste","mensagem"
"[2021/09/26 15:39:22.348]","Comprar Mouse Pad","Iniciou o teste"
"[2021/09/26 15:39:25.678]","Comprar Mouse Pad","Abriu o site"
"[2021/09/26 15:39:28.275]","Comprar Mouse Pad","Clicou na caixa de Pesquisa"
"[2021/09/26 15:39:29.082]","Comprar Mouse Pad","Escreveu mouse pad em tecido preto app tech pt 1 un na caixa de Pesquisa"
"[2021/09/26 15:39:30.190]","Comprar Mouse Pad","Clicou na lupa"
"[2021/09/26 15:39:32.664]","Comprar Mouse Pad","Confirmou o texto da pesquisa de Mouse pad"
