"data e hora","caso de teste","mensagem"
"[2021/09/23 22:17:34.194]","Comprar Tênis","Iniciou o teste"
"[2021/09/23 22:17:50.299]","Comprar Tênis","Abriu o site"
"[2021/09/23 22:17:51.645]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/23 22:17:55.788]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/23 22:17:57.243]","Comprar Tênis","Dou enter"
"[2021/09/23 22:18:03.915]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/23 22:18:07.741]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/23 22:18:09.615]","Comprar Tênis","Clico no popup"
"[2021/09/23 22:18:22.428]","Comprar Tênis","Clicou no tamanho desejado"
