"data e hora","caso de teste","mensagem"
"[2021/09/22 21:37:13.844]","Comprar Livro","Iniciou o teste"
"[2021/09/22 21:37:31.474]","Comprar Livro","Abriu o site"
"[2021/09/22 21:37:32.932]","Comprar Livro","Clico no popup"
"[2021/09/22 21:37:38.017]","Comprar Livro","Clicou na caixa de Pesquisa"
"[2021/09/22 21:37:38.428]","Comprar Livro","Escreveu Tenis Superstar"
"[2021/09/22 21:37:39.835]","Comprar Livro","Dou enter"
"[2021/09/22 21:37:47.038]","Comprar Livro","Confirmou o texto da pesquisa de Mochila Nike Heritage 2.0 - Preto+Branco"
