"data e hora","caso de teste","mensagem"
"[2021/09/26 15:29:24.311]","Comprar Mouse Pad","Iniciou o teste"
"[2021/09/26 15:29:27.286]","Comprar Mouse Pad","Abriu o site"
"[2021/09/26 15:29:32.101]","Comprar Mouse Pad","Clicou na caixa de Pesquisa"
"[2021/09/26 15:29:33.305]","Comprar Mouse Pad","Escreveu mouse pad em tecido preto app tech pt 1 un na caixa de Pesquisa"
"[2021/09/26 15:29:34.086]","Comprar Mouse Pad","Clicou na lupa"
"[2021/09/26 15:29:37.390]","Comprar Mouse Pad","Confirmou o texto da pesquisa de Mouse pad"
