"data e hora","caso de teste","mensagem"
"[2021/09/24 11:06:01.141]","Comprar Tênis","Iniciou o teste"
"[2021/09/24 11:06:14.240]","Comprar Tênis","Abriu o site"
"[2021/09/24 11:06:15.320]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/24 11:06:18.863]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/24 11:06:19.991]","Comprar Tênis","Dou enter"
"[2021/09/24 11:06:25.251]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/24 11:06:30.449]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/24 11:06:32.329]","Comprar Tênis","Clico no popup"
"[2021/09/24 11:06:44.060]","Comprar Tênis","Clicou no tamanho desejado"
