"data e hora","caso de teste","mensagem"
"[2021/09/22 21:31:04.337]","Comprar Livro","Iniciou o teste"
"[2021/09/22 21:31:25.182]","Comprar Livro","Abriu o site"
"[2021/09/22 21:31:26.669]","Comprar Livro","Clico no popup"
"[2021/09/22 21:31:32.080]","Comprar Livro","Clicou na caixa de Pesquisa"
"[2021/09/22 21:31:32.554]","Comprar Livro","Escreveu Tenis Superstar"
"[2021/09/22 21:31:33.963]","Comprar Livro","Clicou na lupa"
"[2021/09/22 21:31:34.301]","Comprar Livro","Confirmou o texto da pesquisa de Mochila Nike Heritage 2.0 - Preto+Branco"
