"data e hora","caso de teste","mensagem"
"[2021/09/19 15:12:03.924]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:12:19.944]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:12:20.855]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
"[2021/09/19 15:12:21.097]","Comprar Controle Robot White","Escreveu Controle Robot White na caixa de Pesquisa"
"[2021/09/19 15:12:21.917]","Comprar Controle Robot White","Clicou na lupa"
"[2021/09/19 15:12:23.489]","Comprar Controle Robot White","Confirmou o texto da pesquisa de Controle Robot White"
