"data e hora","caso de teste","mensagem"
"[2021/09/24 11:07:26.749]","Comprar Tênis","Iniciou o teste"
"[2021/09/24 11:07:39.043]","Comprar Tênis","Abriu o site"
"[2021/09/24 11:07:40.074]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/24 11:07:42.855]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/24 11:07:44.014]","Comprar Tênis","Dou enter"
"[2021/09/24 11:07:50.247]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/24 11:07:52.668]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/24 11:07:55.230]","Comprar Tênis","Clico no popup"
