"data e hora","caso de teste","mensagem"
"[2021/09/30 13:53:26.806]","Comprar Caneta","Iniciou o teste"
"[2021/09/30 13:53:33.159]","Comprar Caneta","Abriu o site"
"[2021/09/30 13:53:34.040]","Comprar Caneta","Clicou na caixa de Pesquisa"
"[2021/09/30 13:53:34.470]","Comprar Caneta","Escreveu Caneta hidrográfica 12 cores 15.0112CZF Faber Castell BT 1 UN na caixa de Pesquisa"
"[2021/09/30 13:53:36.237]","Comprar Caneta","Clicou na lupa"
"[2021/09/30 13:53:38.970]","Comprar Caneta","Clicou no item pesquisado"
"[2021/09/30 13:53:41.868]","Comprar Caneta","Clicou em comprar"
"[2021/09/30 13:53:43.553]","Comprar Caneta","Confirmou o nome do item Caneta hidrográfica 12 cores"
"[2021/09/30 13:53:43.603]","Comprar Caneta","Confirmou o preço da Caneta hidrográfica 12 cores"
"[2021/09/30 13:53:43.848]","Comprar Caneta","Concluiu o teste"
"[2021/09/30 13:53:56.287]","Comprar estojo","Iniciou o teste"
"[2021/09/30 13:54:02.009]","Comprar estojo","Abriu o site"
"[2021/09/30 13:54:02.510]","Comprar estojo","Clicou na caixa de Pesquisa"
"[2021/09/30 13:54:02.763]","Comprar estojo","Escreveu Estojo escolar plástico branco Waleu PT 1 UN na caixa de Pesquisa"
"[2021/09/30 13:54:03.984]","Comprar estojo","Clicou na lupa"
"[2021/09/30 13:54:07.326]","Comprar estojo","Clicou no item pesquisado"
"[2021/09/30 13:54:13.696]","Comprar estojo","Clicou em comprar"
"[2021/09/30 13:54:15.365]","Comprar estojo","Confirmou o nome do item Estojo"
"[2021/09/30 13:54:15.455]","Comprar estojo","Confirmou o preço do Estojo"
"[2021/09/30 13:54:15.705]","Comprar estojo","Concluiu o teste"
