"data e hora","caso de teste","mensagem"
"[2021/09/23 22:19:54.637]","Comprar Tênis","Iniciou o teste"
"[2021/09/23 22:20:08.966]","Comprar Tênis","Abriu o site"
"[2021/09/23 22:20:10.181]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/23 22:20:13.302]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/23 22:20:14.857]","Comprar Tênis","Dou enter"
"[2021/09/23 22:20:20.881]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/23 22:20:25.638]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/23 22:20:28.035]","Comprar Tênis","Clico no popup"
"[2021/09/23 22:20:40.584]","Comprar Tênis","Clicou no tamanho desejado"
