"data e hora","caso de teste","mensagem"
"[2021/09/24 11:02:35.844]","Comprar Tênis","Iniciou o teste"
"[2021/09/24 11:02:53.115]","Comprar Tênis","Abriu o site"
"[2021/09/24 11:02:54.396]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/24 11:02:57.038]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/24 11:02:58.160]","Comprar Tênis","Dou enter"
"[2021/09/24 11:03:04.263]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/24 11:03:09.459]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/24 11:03:11.549]","Comprar Tênis","Clico no popup"
"[2021/09/24 11:03:22.665]","Comprar Tênis","Clicou no tamanho desejado"
