"data e hora","caso de teste","mensagem"
"[2021/09/19 19:38:39.262]","Comprar Livro","Iniciou o teste"
"[2021/09/19 19:38:48.621]","Comprar Livro","Abriu o site"
"[2021/09/19 19:38:50.056]","Comprar Livro","Clicou na caixa de Pesquisa"
