"data e hora","caso de teste","mensagem"
"[2021/09/19 15:45:22.445]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:45:50.757]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:45:51.456]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
