"data e hora","caso de teste","mensagem"
"[2021/09/22 22:46:50.930]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:47:03.946]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:47:04.967]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:47:05.459]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:47:09.995]","Comprar Tênis","Dou enter"
"[2021/09/22 22:47:14.745]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:47:20.280]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/22 22:47:22.720]","Comprar Tênis","Clico no popup"
