"data e hora","caso de teste","mensagem"
"[2021/09/22 22:38:48.222]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:39:01.720]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:39:02.812]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:39:05.756]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:39:07.072]","Comprar Tênis","Dou enter"
"[2021/09/22 22:39:12.508]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:39:18.060]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/22 22:39:20.530]","Comprar Tênis","Clico no popup"
