"data e hora","caso de teste","mensagem"
"[2021/09/19 17:43:32.134]","Comprar Colar","Iniciou o teste"
"[2021/09/19 17:43:37.874]","Comprar Colar","Abriu o site"
"[2021/09/19 17:43:41.908]","Comprar Colar","Clicou na caixa de Pesquisa"
"[2021/09/19 17:43:42.289]","Comprar Colar","Escreveu Colar de Corda"
"[2021/09/19 17:43:43.567]","Comprar Colar","Clicou na lupa"
"[2021/09/19 17:43:45.701]","Comprar Colar","Confirmou o texto da pesquisa de Colar de Corda"
"[2021/09/19 17:43:46.572]","Comprar Colar","Clicou no item pesquisado"
