"data e hora","caso de teste","mensagem"
"[2021/09/19 15:00:48.434]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:01:08.529]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:01:09.965]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
"[2021/09/19 15:01:10.239]","Comprar Controle Robot White","Escreveu Controle Robot White na caixa de Pesquisa"
"[2021/09/19 15:01:11.582]","Comprar Controle Robot White","Clicou na lupa"
"[2021/09/19 15:01:13.115]","Comprar Controle Robot White","Confirmou o texto da pesquisa de Controle Robot White"
