"data e hora","caso de teste","mensagem"
"[2021/09/26 13:01:30.956]","Comprar Tênis","Iniciou o teste"
"[2021/09/26 13:01:50.519]","Comprar Tênis","Abriu o site"
"[2021/09/26 13:01:53.161]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/26 13:01:57.083]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/26 13:01:59.446]","Comprar Tênis","Dou enter"
"[2021/09/26 13:02:08.997]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/26 13:02:15.601]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/26 13:02:18.817]","Comprar Tênis","Clico no popup"
