"data e hora","caso de teste","mensagem"
"[2021/09/22 22:50:23.536]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:50:36.472]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:50:37.492]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:50:40.123]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:50:41.605]","Comprar Tênis","Dou enter"
"[2021/09/22 22:50:46.618]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:50:51.936]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/22 22:50:54.409]","Comprar Tênis","Clico no popup"
