"data e hora","caso de teste","mensagem"
"[2021/09/02 22:39:04.340]","Comprar Caderno","Iniciou o teste"
"[2021/09/02 22:39:14.406]","Comprar Caderno","Abriu o site"
"[2021/09/02 22:39:15.547]","Comprar Caderno","Clicou na caixa de Pesquisa"
"[2021/09/02 22:39:16.050]","Comprar Caderno","Escreveu Caderno na caixa de Pesquisa"
"[2021/09/02 22:39:17.348]","Comprar Caderno","Clicou na lupa"
"[2021/09/02 22:39:24.120]","Comprar Caderno","Confirmou o texto da pesquisa de Caderno"
"[2021/09/02 22:39:24.562]","Comprar Caderno","Clicou no item pesquisado"
"[2021/09/02 22:39:29.603]","Comprar Caderno","Clicou em comprar"
"[2021/09/02 22:39:33.005]","Comprar Caderno","Confirmou o nome do item Caderno"
"[2021/09/02 22:39:33.081]","Comprar Caderno","Confirmou o preço do Caderno"
"[2021/09/02 22:39:33.288]","Comprar Caderno","Concluiu o teste"
