"data e hora","caso de teste","mensagem"
"[2021/09/19 14:18:11.311]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 14:18:32.652]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 14:18:33.836]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
"[2021/09/19 14:18:34.670]","Comprar Controle Robot White","Escreveu Controle Robot White na caixa de Pesquisa"
"[2021/09/19 14:19:35.655]","Comprar Controle Robot White","Iniciou o teste"
