"data e hora","caso de teste","mensagem"
"[2021/09/27 15:47:26.589]","Comprar Caneta","Iniciou o teste"
"[2021/09/27 15:47:31.758]","Comprar Caneta","Abriu o site"
"[2021/09/27 15:47:33.256]","Comprar Caneta","Clicou na caixa de Pesquisa"
"[2021/09/27 15:47:33.742]","Comprar Caneta","Escreveu Caneta hidrográfica 12 cores 15.0112CZF Faber Castell BT 1 UN na caixa de Pesquisa"
"[2021/09/27 15:47:34.978]","Comprar Caneta","Clicou na lupa"
"[2021/09/27 15:47:37.501]","Comprar Caneta","Clicou no item pesquisado"
"[2021/09/27 15:47:41.465]","Comprar Caneta","Clicou em comprar"
"[2021/09/27 15:47:43.508]","Comprar Caneta","Confirmou o nome do item Caneta hidrográfica 12 cores"
"[2021/09/27 15:47:43.627]","Comprar Caneta","Confirmou o preço da Caneta hidrográfica 12 cores"
"[2021/09/27 15:47:44.108]","Comprar Caneta","Concluiu o teste"
"[2021/09/27 15:47:48.919]","Comprar estojo","Iniciou o teste"
"[2021/09/27 15:47:52.648]","Comprar estojo","Abriu o site"
"[2021/09/27 15:47:55.595]","Comprar estojo","Clicou na caixa de Pesquisa"
"[2021/09/27 15:47:56.171]","Comprar estojo","Escreveu Estojo escolar plástico branco Waleu PT 1 UN na caixa de Pesquisa"
"[2021/09/27 15:47:57.722]","Comprar estojo","Clicou na lupa"
"[2021/09/27 15:48:01.089]","Comprar estojo","Clicou no item pesquisado"
"[2021/09/27 15:48:06.224]","Comprar estojo","Clicou em comprar"
"[2021/09/27 15:48:09.655]","Comprar estojo","Confirmou o nome do item Estojo"
"[2021/09/27 15:48:09.748]","Comprar estojo","Confirmou o preço do Estojo"
"[2021/09/27 15:48:10.131]","Comprar estojo","Concluiu o teste"
