"data e hora","caso de teste","mensagem"
"[2021/09/23 22:12:24.243]","Comprar Tênis","Iniciou o teste"
"[2021/09/23 22:12:39.728]","Comprar Tênis","Abriu o site"
"[2021/09/23 22:12:40.598]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/23 22:12:43.870]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/23 22:12:45.974]","Comprar Tênis","Dou enter"
"[2021/09/23 22:12:51.801]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/23 22:12:57.104]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/23 22:12:59.069]","Comprar Tênis","Clico no popup"
"[2021/09/23 22:13:13.639]","Comprar Tênis","Clicou no tamanho desejado"
