"data e hora","caso de teste","mensagem"
"[2021/09/22 22:43:47.872]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:44:03.348]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:44:04.752]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:44:07.280]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:44:09.149]","Comprar Tênis","Dou enter"
"[2021/09/22 22:44:16.160]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:44:20.871]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/22 22:44:23.400]","Comprar Tênis","Clico no popup"
