"data e hora","caso de teste","mensagem"
"[2021/09/26 20:33:34.920]","Comprar estojo","Iniciou o teste"
"[2021/09/26 20:33:39.897]","Comprar estojo","Abriu o site"
"[2021/09/26 20:33:41.323]","Comprar estojo","Clicou na caixa de Pesquisa"
"[2021/09/26 20:33:41.689]","Comprar estojo","Escreveu Estojo escolar plástico branco Waleu PT 1 UN na caixa de Pesquisa"
"[2021/09/26 20:33:42.560]","Comprar estojo","Clicou na lupa"
"[2021/09/26 20:33:44.239]","Comprar estojo","Clicou no item pesquisado"
"[2021/09/26 20:33:48.184]","Comprar estojo","Clicou em comprar"
"[2021/09/26 20:33:50.899]","Comprar estojo","Confirmou o nome do item Estojo"
"[2021/09/26 20:33:51.006]","Comprar estojo","Confirmou o preço do Estojo"
"[2021/09/26 20:33:51.254]","Comprar estojo","Concluiu o teste"
