"data e hora","caso de teste","mensagem"
"[2021/09/26 13:08:50.511]","Comprar Tênis","Iniciou o teste"
"[2021/09/26 13:09:11.859]","Comprar Tênis","Abriu o site"
"[2021/09/26 13:09:14.963]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/26 13:09:18.974]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/26 13:09:21.234]","Comprar Tênis","Dou enter"
"[2021/09/26 13:09:36.197]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/26 13:09:37.482]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/26 13:09:43.673]","Comprar Tênis","Clico no popup"
