"data e hora","caso de teste","mensagem"
"[2021/09/19 15:22:05.866]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:22:32.616]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:22:33.911]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
"[2021/09/19 15:22:34.202]","Comprar Controle Robot White","Escreveu Controle Robot White na caixa de Pesquisa"
"[2021/09/19 15:22:36.842]","Comprar Controle Robot White","Clicou na lupa"
"[2021/09/19 15:22:38.676]","Comprar Controle Robot White","Confirmou o texto da pesquisa de Controle Robot White"
