"data e hora","caso de teste","mensagem"
"[2021/09/19 20:03:21.122]","Comprar Livro","Iniciou o teste"
"[2021/09/19 20:03:32.801]","Comprar Livro","Abriu o site"
"[2021/09/19 20:03:33.967]","Comprar Livro","Clicou na caixa de Pesquisa"
"[2021/09/19 20:03:35.490]","Comprar Livro","Escreveu O Livro da Matemática"
"[2021/09/19 20:03:36.749]","Comprar Livro","Clicou na lupa"
