"data e hora","caso de teste","mensagem"
"[2021/09/26 20:42:44.151]","Comprar Caneta","Iniciou o teste"
"[2021/09/26 20:42:48.226]","Comprar Caneta","Abriu o site"
"[2021/09/26 20:42:49.084]","Comprar Caneta","Clicou na caixa de Pesquisa"
"[2021/09/26 20:42:49.280]","Comprar Caneta","Escreveu Caneta hidrográfica 12 cores 15.0112CZF Faber Castell BT 1 UN na caixa de Pesquisa"
"[2021/09/26 20:42:50.258]","Comprar Caneta","Clicou na lupa"
"[2021/09/26 20:42:53.247]","Comprar Caneta","Clicou no item pesquisado"
"[2021/09/26 20:42:56.020]","Comprar Caneta","Clicou em comprar"
"[2021/09/26 20:42:57.921]","Comprar Caneta","Confirmou o nome do item Caneta hidrográfica 12 cores"
"[2021/09/26 20:42:58.010]","Comprar Caneta","Confirmou o preço da Caneta hidrográfica 12 cores"
"[2021/09/26 20:42:58.338]","Comprar Caneta","Concluiu o teste"
"[2021/09/26 20:43:05.592]","Comprar estojo","Iniciou o teste"
"[2021/09/26 20:43:10.764]","Comprar estojo","Abriu o site"
"[2021/09/26 20:43:11.585]","Comprar estojo","Clicou na caixa de Pesquisa"
"[2021/09/26 20:43:11.814]","Comprar estojo","Escreveu Estojo escolar plástico branco Waleu PT 1 UN na caixa de Pesquisa"
"[2021/09/26 20:43:12.740]","Comprar estojo","Clicou na lupa"
"[2021/09/26 20:43:14.858]","Comprar estojo","Clicou no item pesquisado"
"[2021/09/26 20:43:18.390]","Comprar estojo","Clicou em comprar"
"[2021/09/26 20:43:20.700]","Comprar estojo","Confirmou o nome do item Estojo"
"[2021/09/26 20:43:20.773]","Comprar estojo","Confirmou o preço do Estojo"
"[2021/09/26 20:43:21.031]","Comprar estojo","Concluiu o teste"
