"data e hora","caso de teste","mensagem"
"[2021/09/26 17:34:46.878]","Comprar estojo","Iniciou o teste"
"[2021/09/26 17:34:52.528]","Comprar estojo","Abriu o site"
"[2021/09/26 17:34:53.905]","Comprar estojo","Clicou na caixa de Pesquisa"
"[2021/09/26 17:34:54.501]","Comprar estojo","Escreveu Estojo escolar plástico branco Waleu PT 1 UN na caixa de Pesquisa"
"[2021/09/26 17:34:55.527]","Comprar estojo","Clicou na lupa"
"[2021/09/26 17:34:59.989]","Comprar estojo","Confirmou o texto da pesquisa de Estojo"
"[2021/09/26 17:35:00.148]","Comprar estojo","Clicou no item pesquisado"
"[2021/09/26 17:35:04.149]","Comprar estojo","Clicou em comprar"
"[2021/09/26 17:35:06.037]","Comprar estojo","Confirmou o nome do item Estojo"
"[2021/09/26 17:35:06.132]","Comprar estojo","Confirmou o preço do Estojo"
"[2021/09/26 17:35:06.486]","Comprar estojo","Concluiu o teste"
