"data e hora","caso de teste","mensagem"
"[2021/09/19 15:23:53.464]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:24:18.580]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:24:20.138]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
"[2021/09/19 15:24:21.460]","Comprar Controle Robot White","Escreveu Controle Robot White na caixa de Pesquisa"
"[2021/09/19 15:24:22.472]","Comprar Controle Robot White","Clicou na lupa"
"[2021/09/19 15:24:23.190]","Comprar Controle Robot White","Confirmou o texto da pesquisa de Controle Robot White"
