"data e hora","caso de teste","mensagem"
"[2021/09/26 16:34:51.145]","Comprar Mouse Pad","Iniciou o teste"
"[2021/09/26 16:34:55.378]","Comprar Mouse Pad","Abriu o site"
"[2021/09/26 16:34:56.846]","Comprar Mouse Pad","Clicou na caixa de Pesquisa"
"[2021/09/26 16:34:57.332]","Comprar Mouse Pad","Escreveu mouse pad em tecido preto app tech pt 1 un na caixa de Pesquisa"
"[2021/09/26 16:34:58.453]","Comprar Mouse Pad","Clicou na lupa"
"[2021/09/26 16:35:01.210]","Comprar Mouse Pad","Confirmou o texto da pesquisa de Mouse pad"
