"data e hora","caso de teste","mensagem"
"[2021/09/26 13:04:01.705]","Comprar Tênis","Iniciou o teste"
"[2021/09/26 13:04:23.914]","Comprar Tênis","Abriu o site"
"[2021/09/26 13:04:26.314]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/26 13:04:31.026]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/26 13:04:33.328]","Comprar Tênis","Dou enter"
"[2021/09/26 13:04:47.322]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/26 13:04:48.817]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/26 13:04:56.702]","Comprar Tênis","Clico no popup"
