"data e hora","caso de teste","mensagem"
"[2021/09/19 15:10:51.338]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:11:08.619]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:11:09.406]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
"[2021/09/19 15:11:10.668]","Comprar Controle Robot White","Escreveu Controle Robot White na caixa de Pesquisa"
"[2021/09/19 15:11:12.113]","Comprar Controle Robot White","Clicou na lupa"
"[2021/09/19 15:11:12.745]","Comprar Controle Robot White","Confirmou o texto da pesquisa de Controle Robot White"
