"data e hora","caso de teste","mensagem"
"[2021/09/22 22:31:31.388]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:31:42.808]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:31:44.292]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:31:47.157]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:31:48.248]","Comprar Tênis","Dou enter"
"[2021/09/22 22:31:52.764]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:31:58.048]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/22 22:32:00.251]","Comprar Tênis","Clico no popup"
