"data e hora","caso de teste","mensagem"
"[2021/09/26 13:06:49.161]","Comprar Tênis","Iniciou o teste"
"[2021/09/26 13:07:03.513]","Comprar Tênis","Abriu o site"
"[2021/09/26 13:07:06.460]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/26 13:07:09.460]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/26 13:07:11.557]","Comprar Tênis","Dou enter"
"[2021/09/26 13:07:20.019]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/26 13:07:22.919]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/26 13:07:25.301]","Comprar Tênis","Clico no popup"
