"data e hora","caso de teste","mensagem"
"[2021/09/19 17:14:16.561]","Comprar Colar","Iniciou o teste"
"[2021/09/19 17:14:18.953]","Comprar Colar","Abriu o site"
"[2021/09/19 17:14:20.618]","Comprar Colar","Clicou na caixa de Pesquisa"
"[2021/09/19 17:14:23.209]","Comprar Colar","Escreveu Colar de Corda"
"[2021/09/19 17:14:24.328]","Comprar Colar","Clicou na lupa"
"[2021/09/19 17:14:26.121]","Comprar Colar","Confirmou o texto da pesquisa de Colar de Corda"
"[2021/09/19 17:14:26.820]","Comprar Colar","Clicou no item pesquisado"
