"data e hora","caso de teste","mensagem"
"[2021/09/26 12:00:35.559]","Comprar Tênis","Iniciou o teste"
"[2021/09/26 12:00:55.424]","Comprar Tênis","Abriu o site"
"[2021/09/26 12:00:58.348]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/26 12:01:02.987]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/26 12:01:05.367]","Comprar Tênis","Dou enter"
"[2021/09/26 12:01:13.369]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/26 12:01:20.260]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/26 12:01:27.174]","Comprar Tênis","Clico no popup"
