"data e hora","caso de teste","mensagem"
"[2021/09/19 18:58:07.739]","Comprar Colar","Iniciou o teste"
"[2021/09/19 18:58:11.991]","Comprar Colar","Abriu o site"
"[2021/09/19 18:58:15.123]","Comprar Colar","Clicou na caixa de Pesquisa"
"[2021/09/19 18:58:16.539]","Comprar Colar","Escreveu Colar de Corda"
"[2021/09/19 18:58:18.188]","Comprar Colar","Clicou na lupa"
"[2021/09/19 18:58:20.539]","Comprar Colar","Confirmou o texto da pesquisa de Colar de Corda"
"[2021/09/19 18:58:21.276]","Comprar Colar","Clicou no item pesquisado"
