"data e hora","caso de teste","mensagem"
"[2021/09/19 17:56:43.615]","Comprar Colar","Iniciou o teste"
"[2021/09/19 17:56:46.112]","Comprar Colar","Abriu o site"
"[2021/09/19 17:56:47.413]","Comprar Colar","Clicou na caixa de Pesquisa"
"[2021/09/19 17:56:49.374]","Comprar Colar","Escreveu Colar de Corda"
"[2021/09/19 17:56:50.540]","Comprar Colar","Clicou na lupa"
"[2021/09/19 17:56:52.192]","Comprar Colar","Confirmou o texto da pesquisa de Colar de Corda"
"[2021/09/19 17:56:52.930]","Comprar Colar","Clicou no item pesquisado"
