"data e hora","caso de teste","mensagem"
"[2021/09/19 15:43:55.910]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:44:24.772]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:44:25.533]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
