"data e hora","caso de teste","mensagem"
"[2021/09/22 22:28:45.464]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:29:01.627]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:29:03.183]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:29:06.967]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:29:08.313]","Comprar Tênis","Dou enter"
"[2021/09/22 22:29:14.448]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:29:21.342]","Comprar Tênis","Clicou no item pesquisado"
"[2021/09/22 22:29:51.392]","Comprar Tênis","Clicou no tamanho desejado"
"[2021/09/22 22:29:53.180]","Comprar Tênis","Clicou em adicionar ao carrinho"
