"data e hora","caso de teste","mensagem"
"[2021/09/19 15:17:56.194]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 15:18:17.593]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 15:18:20.257]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
"[2021/09/19 15:18:20.691]","Comprar Controle Robot White","Escreveu Controle Robot White na caixa de Pesquisa"
"[2021/09/19 15:18:21.749]","Comprar Controle Robot White","Clicou na lupa"
"[2021/09/19 15:18:22.646]","Comprar Controle Robot White","Confirmou o texto da pesquisa de Controle Robot White"
