"data e hora","caso de teste","mensagem"
"[2021/09/26 16:42:08.985]","Comprar Mouse Pad","Iniciou o teste"
"[2021/09/26 16:42:14.430]","Comprar Mouse Pad","Abriu o site"
"[2021/09/26 16:42:15.490]","Comprar Mouse Pad","Clicou na caixa de Pesquisa"
"[2021/09/26 16:42:15.850]","Comprar Mouse Pad","Escreveu mouse pad em tecido preto app tech pt 1 un na caixa de Pesquisa"
"[2021/09/26 16:42:16.943]","Comprar Mouse Pad","Clicou na lupa"
"[2021/09/26 16:42:21.902]","Comprar Mouse Pad","Confirmou o texto da pesquisa de Mouse pad"
"[2021/09/26 16:42:21.998]","Comprar Mouse Pad","Clicou no item pesquisado"
"[2021/09/26 16:42:27.881]","Comprar Mouse Pad","Clicou em comprar"
"[2021/09/26 16:42:31.287]","Comprar Mouse Pad","Confirmou o nome do item Mouse Pad"
"[2021/09/26 16:42:31.432]","Comprar Mouse Pad","Confirmou o preço do Mouse Pad"
"[2021/09/26 16:42:31.698]","Comprar Mouse Pad","Concluiu o teste"
