"data e hora","caso de teste","mensagem"
"[2021/09/19 20:43:33.155]","Comprar Livro","Iniciou o teste"
"[2021/09/19 20:43:35.832]","Comprar Livro","Abriu o site"
"[2021/09/19 20:43:38.770]","Comprar Livro","Clicou na caixa de Pesquisa"
"[2021/09/19 20:43:42.697]","Comprar Livro","Controle Para Sistema Android Robot White Microsft"
"[2021/09/19 20:43:44.101]","Comprar Livro","Clicou na lupa"
"[2021/09/19 20:43:47.721]","Comprar Livro","Confirmou o texto da pesquisa de Controle Para Sistema Android Robot White Microsft"
"[2021/09/19 20:43:50.250]","Comprar Livro","Clicou no item pesquisado"
