"data e hora","caso de teste","mensagem"
"[2021/09/22 22:17:10.115]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:17:37.681]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:17:47.725]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:18:01.021]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:18:02.626]","Comprar Tênis","Dou enter"
"[2021/09/22 22:18:12.210]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:18:21.828]","Comprar Tênis","Clicou no item pesquisado"
