"data e hora","caso de teste","mensagem"
"[2021/09/22 22:24:40.742]","Comprar Tênis","Iniciou o teste"
"[2021/09/22 22:24:53.410]","Comprar Tênis","Abriu o site"
"[2021/09/22 22:24:56.284]","Comprar Tênis","Clicou na caixa de Pesquisa"
"[2021/09/22 22:25:01.009]","Comprar Tênis","Escreveu Tenis Superstar"
"[2021/09/22 22:25:02.324]","Comprar Tênis","Dou enter"
"[2021/09/22 22:25:08.408]","Comprar Tênis","Confirmou o texto da pesquisa de Tenis Superstar"
"[2021/09/22 22:25:17.249]","Comprar Tênis","Clicou no item pesquisado"
