"data e hora","caso de teste","mensagem"
"[2021/09/19 14:21:30.847]","Comprar Controle Robot White","Iniciou o teste"
"[2021/09/19 14:21:53.205]","Comprar Controle Robot White","Abriu o site"
"[2021/09/19 14:21:54.576]","Comprar Controle Robot White","Clicou na caixa de Pesquisa"
