"data e hora","caso de teste","mensagem"
"[2021/09/19 20:41:53.829]","Comprar Livro","Iniciou o teste"
"[2021/09/19 20:41:57.427]","Comprar Livro","Abriu o site"
"[2021/09/19 20:41:59.518]","Comprar Livro","Clicou na caixa de Pesquisa"
"[2021/09/19 20:42:03.557]","Comprar Livro","Controle Para Sistema Android Robot White Microsft"
"[2021/09/19 20:42:04.900]","Comprar Livro","Clicou na lupa"
"[2021/09/19 20:42:09.171]","Comprar Livro","Confirmou o texto da pesquisa de Controle Para Sistema Android Robot White Microsft"
