"data e hora","caso de teste","mensagem"
"[2021/09/19 18:07:08.883]","Comprar Colar","Iniciou o teste"
"[2021/09/19 18:07:13.224]","Comprar Colar","Abriu o site"
"[2021/09/19 18:07:14.207]","Comprar Colar","Clicou na caixa de Pesquisa"
"[2021/09/19 18:07:16.230]","Comprar Colar","Escreveu Colar de Corda"
"[2021/09/19 18:07:17.694]","Comprar Colar","Clicou na lupa"
"[2021/09/19 18:07:19.882]","Comprar Colar","Confirmou o texto da pesquisa de Colar de Corda"
"[2021/09/19 18:07:20.697]","Comprar Colar","Clicou no item pesquisado"
